"China production share, non-REE commodities (85 rows: 80 valued + 11 documented-NA). Numerator/denominator kept in notes.",,,,
commodity,china_share_pct,basis,data_year,notes
phosphate rock,38.6,mine,2022e,85/220 Mt
platinum-group metals,1,mine,2022e,South Africa/Russia; China negligible; threshold 154% — insensitive
potash,15,mine,2022e,6000/40000 kt K2O
praseodymium,70,mine,2022e,REE group basis
pumice and pumicite,3,mine,2022e,threshold 89% — insensitive
quartz crystal (industrial),,,2022,DOCUMENTED NA: cultured quartz production data not published by country
rhenium,4.3,mine,2022e,2500/58000 kg
rubidium,,,2022,DOCUMENTED NA: no production data published anywhere; dust-corner resident
salt,22,production,2022e,64/290 Mt; threshold >201% — insensitive
samarium,70,mine,2022e,REE group basis
sand and gravel,,,2022,DOCUMENTED NA: local construction material; world share not meaningful
scandium,68,oxide production,2022e,INFERRED industry estimate 66-70; USGS no country data; only reaches E1 threshold at >91 so entry-insensitive
selenium,40.6,refinery,2022e,1300/3200 t
silicon,68,smelter (Si metal+FeSi),2022e,~6/8.8 Mt; threshold ~200% — insensitive
silver,13.8,mine,2022e,3600/26000 t
soda ash,46,production,2022e,29/63 Mt; threshold 65% — insensitive
stone,,,2022,DOCUMENTED NA: local construction material
strontium,23.5,mine,2022e,80000/340000 t celestite
sulfur,19,production,2022e,17/82 Mt; threshold 113% — insensitive
talc and pyrophyllite,28,mine,2022e,threshold 78% — insensitive; spot-verify
tantalum,3.9,mine,2022e,78/2000 t
tellurium,53.1,refinery,2022e,340/640 t; MCS text says 53%
thallium,,,2022,"DOCUMENTED NA: MCS2023 ""most producers withhold thallium production data""; China/Kazakhstan/Russia thought leading; no country breakdown exists"
thorium,,,2022,DOCUMENTED NA: no meaningful current production market
tin,30.6,mine,2022e,95000/310000 t
titanium,35.8,mine,2022e,mineral concentrates; sponge metal share 57.7%
tungsten,84.5,mine,2022e,71000/84000 t
vanadium,70,mine,2022e,70000/100000 t
vermiculite,8,mine,2022e,South Africa leads; threshold 64% — insensitive
wollastonite,75,mine,2022e,900/1200 kt; MCS2023 wollastonite chapter; VERIFIED 2026-08-15
yttrium,70,mine,2022e,no country table; REE-group proxy (flag as proxy)
zeolites (natural),5.2,mine,2022e,52/1000 kt; MCS2023 zeolites; VERIFIED 2026-08-15
zinc,32.3,mine,2022e,4200/13000 kt
zirconium,10,mine,2022e,zircon 140/1400 kt gross wt
